epoch;accuracy;loss;val_accuracy;val_loss
0;0.4208375811576843;3.773418664932251;0.4444444477558136;1.1580803394317627
1;0.5648621320724487;0.9269782900810242;0.5789473652839661;0.9168404936790466
2;0.5658835768699646;0.9067668914794922;0.4736842215061188;1.6793723106384277
3;0.584269642829895;0.9372650384902954;0.5789473652839661;0.94112229347229
4;0.5863125920295715;0.8895553350448608;0.5029239654541016;0.9943289756774902
5;0.590398371219635;0.9184741377830505;0.5906432867050171;1.003533124923706
6;0.5801838636398315;0.9326460361480713;0.5555555820465088;0.9650595188140869
7;0.7170582413673401;0.6492815017700195;0.6081871390342712;0.9033762812614441
8;0.6629213690757751;0.7459441423416138;0.6315789222717285;0.9105729460716248
9;0.7048008441925049;0.6599367260932922;0.6432748436927795;0.8947311043739319
