epoch;accuracy;loss;val_accuracy;val_loss
0;0.5117467045783997;1.9984593391418457;0.5964912176132202;0.9470387101173401
1;0.7681307196617126;0.5886602401733398;0.6081871390342712;1.0861546993255615
2;0.8896833658218384;0.3231023848056793;0.6140350699424744;0.9326184988021851
3;0.9744637608528137;0.16845481097698212;0.6198830604553223;0.9395503997802734
4;0.9816138744354248;0.12384474277496338;0.5497075915336609;1.2731512784957886
5;0.9918283820152283;0.09257286787033081;0.5847952961921692;1.0383800268173218
6;0.9928498268127441;0.07057122886180878;0.5789473652839661;1.1407713890075684
7;0.9979571104049683;0.04540194571018219;0.5789473652839661;1.1288665533065796
8;0.9989785552024841;0.029320357367396355;0.567251443862915;1.2368539571762085
9;1.0;0.021319132298231125;0.5789473652839661;1.193129539489746
